DRR091839_1.mature	DRR091842_1.mature	DRR091837_1.mature	DRR091838_1.mature	DRR091840_1.mature	DRR091848_1.mature	DRR091841_1.mature	DRR091847_1.mature	DRR091844_1.mature	DRR091849_1.mature	DRR091845_1.mature	DRR091846_1.mature	DRR091843_1.mature
hsa-miR-148a-5p	186.421247590527	401.168017493621	316.378177788717	440.618842442792	358.589780930743	1335.61940666833	1263.78997027358	309.285150441046	291.789584243956	79.619407902987	2439.41049919873	1872.96719838471	338.159112012913
hsa-miR-30e-5p	1040.36976950431	349.193064764453	605.185645632111	985.342447659631	884.860208410073	240.654499372304	454.974665406119	656.862748079554	506.801703955404	358.760455983918	1029.52221906103	194.987546986491	639.414013065197
hsa-miR-23c	754.154871606661	379.438993138359	836.454240546136	997.822843196871	1059.79975740665	183.169168360462	263.582160760406	471.291657814927	711.600307742803	74.7530264352323	271.669476628187	352.565907573645	593.477982053678
hsa-miR-20a-5p	323.700411920573	690.415180896071	249.07824605883	421.59384924578	336.916772193171	108.960831963356	1184.74957573756	1170.37428357373	287.563301792625	313.4760728812	1715.24649949561	366.568228739877	807.813754659221
hsa-miR-145-3p	954.748494745005	308.683175137307	823.696365447214	1061.44242044768	1009.71333051551	44.551131534178	273.344463010791	82.4760401176122	776.051115125596	60.1538820319681	402.105377966363	99.4791772406965	474.704692567236
hsa-miR-28-5p	693.691659949994	466.136708405081	596.88018331939	885.042683524986	505.012213167357	658.598985524314	479.209152571549	336.777163813583	651.111640158133	296.984446796031	441.552880137069	487.364372532152	548.124649109959
hsa-miR-340-5p	481.273747153411	371.795617737011	363.899121949133	421.21334938184	538.403164428114	512.27268840326	1438.91197116865	431.771888591904	531.983303561249	446.084967877516	519.296132590287	848.916844436364	446.152487245066
hsa-miR-29b-3p	578.970892201978	398.110667333082	181.350197714886	491.073124401267	418.423876823467	382.408099708325	882.032571745347	1098.20774847082	228.659490127204	1414.35970269771	254.249229319225	738.988173788031	481.891302070095
hsa-miR-15a-5p	444.542975023564	486.773821988721	562.459607549142	538.331207502644	462.599483149811	622.931950601057	407.276399147657	248.409977973284	668.104817514525	814.983718585923	514.833094023528	303.244298689602	519.766676477056
hsa-miR-107	410.160288783296	567.793601243013	403.79959037932	383.087263015028	375.596352380322	705.76308664994	570.23833934488	480.373840804069	510.939938855665	347.946274944463	345.09365950067	1587.06905875178	421.290703018959
hsa-miR-181b-5p	316.823874672519	351.158504153371	491.306626292735	318.934985954705	402.765387257087	954.648440235303	424.745782122031	350.032241689628	665.287295880304	321.316354134805	235.10135417797	1157.38588982978	334.46869091685
hsa-miR-532-5p	411.082751097059	267.845712278675	364.669731854437	244.889712431935	385.240322775509	1072.10142337086	434.42245014215	343.159238346494	298.129007920952	884.735186290407	512.529590247136	652.884348109109	379.627791171302
hsa-miR-374a-5p	653.354898775436	249.392420238277	259.096174827783	689.846253323645	569.409047741675	110.920559156942	409.245986443788	147.769571877389	209.817314198354	1326.22412722616	361.50612390746	54.9643353241663	388.174029499027
hsa-miR-30e-3p	680.357886505598	181.038805934791	609.209941804254	650.198167501073	764.362427773426	320.611368870595	314.705796229529	249.637299998844	433.193951261394	165.051438114681	231.502129527358	243.055216661618	308.92709227831
hsa-miR-425-5p	80.8412427698011	219.910829404505	113.964642662187	113.312859481402	96.6471011646769	2053.66345039807	240.204015897641	384.3972584053	221.527638490583	581.802939922676	613.451849450294	1587.06905875178	596.391472392675
hsa-miR-429	237.743696319903	26.5334317503946	300.709109714201	387.196661545583	271.068157129255	1877.1573544958	728.06222572611	2.70010845623135	8.1003746983838	1513.17428194573	5.90272842700354	8.56858459426167	292.514430035294
hsa-miR-320a	298.62620902828	406.845953506051	481.117450878159	465.731833462847	449.637157349827	312.64181161668	331.147568440704	201.280812191792	579.264838485511	323.208835816709	270.085817781918	311.603893415711	565.314242110041
hsa-miR-423-3p	172.500452673735	408.047055354834	629.160176019348	215.362922990173	278.223360970846	461.973023767898	406.933862226591	376.051468631494	780.189350025857	350.109111152354	502.595730211447	318.709548932904	324.85417279816
hsa-miR-200a-3p	347.34899123705	187.917843796005	422.807968043487	575.391894250423	376.63333844432	995.018820423165	476.211954512221	132.79624316556	45.9608216582211	572.881240565125	491.654087273587	45.1418115209883	176.266165509315
hsa-miR-146b-5p	375.945322963712	540.82340518397	123.98257143114	179.063235970274	531.870152224923	104.910729096613	112.865915491298	1356.19083824347	796.390099422625	191.951713450325	57.5875944097906	163.848056631735	705.453127415794
hsa-miR-146a-5p	428.861115689588	192.176295805327	110.967826363783	135.077451698783	428.275244431454	272.794025347107	89.4021363982662	162.742900589217	1422.23209242384	545.305078914515	53.7004317871297	199.376334217698	503.159781544773
hsa-miR-769-5p	170.990968887577	234.760815898553	180.408341163958	183.781434283133	180.22817792297	512.27268840326	477.496467966219	754.803045719219	335.197026921164	801.465992286604	446.879732619975	912.867744091097	349.327491645734
hsa-miR-497-5p	270.281457932644	163.677424666015	257.469331694363	318.250086199612	275.11240277885	894.550139632013	347.674974882146	420.725990361867	324.807415894976	447.031208718469	412.327175974101	413.172969337935	321.746449769896
hsa-miR-204-5p	1101.58772305405	61.9113407509208	422.807968043487	638.098271827773	851.054462723716	87.5344813134875	37.6790613172769	14.4823999016045	126.436283335643	5.1367359937411	102.505918049427	28.4226220687704	322.717613216229
hsa-miR-9-5p	58.7021472394821	24.131228052828	45.9797243498081	83.2533702301233	52.3677962319333	21.8182960885857	341.252407612156	16.4461151425	2895.70785957007	7.43474946462527	34.6965256318988	18.8090881337451	71.6718623393249
hsa-miR-96-5p	87.3823391764862	360.985701097962	86.13706274843	195.805229983645	170.687906134183	625.80621715165	496.76416977619	387.588295671755	68.5009947319847	1375.96936000765	625.833182248399	131.036647331758	277.461396617143
hsa-miR-149-5p	187.008269062922	153.850227721424	303.020939430113	292.376095451676	309.229244284406	309.114302668226	816.179848670379	885.390109238771	55.5580047247845	52.0432462523769	131.299715254323	1531.05977408685	71.6718623393249
hsa-miR-1307-5p	138.704787905862	263.47806919219	68.413034926437	115.976358528984	114.690658678254	903.956830161224	407.44766760819	693.191480036121	205.855174400232	982.333170171488	212.210285400078	754.662413899485	172.964209791786
hsa-miR-193b-3p	243.19460999214	236.071108824499	216.455760067625	291.310695832644	227.30734522851	462.62626616576	184.969937375723	316.15815378418	139.115130689635	1277.15478075963	91.852213083616	936.065619456049	93.0374581586359
hsa-miR-15b-5p	130.905788344045	438.074601574417	156.605057422344	183.324834446405	169.962015889384	619.143144693459	511.065086230702	258.964947393098	180.057241936901	679.671278329743	368.704573208684	248.279963365436	252.308263357136
hsa-miR-200b-3p	305.75432690736	24.131228052828	356.792386155773	569.912696209683	329.035678106781	587.656861116518	532.644912257869	6.38207453291047	9.50913551549402	623.97824597655	33.6887427297275	15.883229979607	182.578727910475
hsa-miR-135a-5p	203.277149869292	180.492850548981	276.220839390095	564.661798087308	242.862136188491	67.8065608980597	91.4573579246631	1.71825083578359	123.706809252492	170.593705897402	1685.87682634662	2.08989868152724	278.918141786641
hsa-miR-501-3p	270.365318142986	177.981455774252	195.478045978793	256.913508132446	328.102390649182	661.603900554479	175.63580627667	134.759958406456	198.89941786575	914.879715937888	164.556551025977	73.9824133260642	322.037798803796
hsa-miR-196b-5p	280.680124015067	249.610802392601	300.195369777332	285.907597764692	288.385824398033	130.12588565408	360.69137788266	80.0213960664928	230.156298495383	106.114151449652	388.716262266086	138.560282585256	603.383849206268
hsa-miR-17-5p	168.642882997998	398.110667333082	154.978214288925	216.200022690841	178.776397433372	127.512916062633	479.722957953149	491.665203439218	177.944100711235	178.704341676993	701.1289619392	304.916217634824	371.470018222111
hsa-miR-361-5p	244.536373357614	249.174038083953	270.99781669859	384.304862579637	329.86526695798	253.588698849969	387.152355035021	93.7674027527615	264.318748310306	257.512686002021	316.011924323726	125.393920891634	282.317213848804
hsa-miR-34a-5p	260.302092901932	558.293977529908	220.051939625711	241.617413602049	240.269671028494	197.148555674705	429.71256747749	125.18684660709	245.652667483596	302.256360052766	329.545009010027	79.416149898035	243.082210616979
